Jahr;Monat;DatenTyp;Einheit;WA07019010 Kartoffeln, frisch oder gek�hlt;WA07019050 Fr�hkartoffeln, frisch oder gek�hlt, 1.1.030.6.;WA07019090 Kartoffeln and., frisch oder gek�hlt;Kartoffeln combined;WA07092000 Spargel, frisch oder gek�hlt;WA08051020 S��orangen, frisch                      (bis 2016);WA08051022 Navel0Orangen, frisch;WA08051024 Blondorangen, frisch;WA08051028 S��orangen, a.n.g., frisch;WA08051080 Andere Zitrusfr�chte, frisch oder getrocknet;Orangen combined;WA08055010 Zitronen, frisch oder getrocknet;WA08101000 Erdbeeren, frisch;WA07099390 K�rbisse, a.n.g., frisch oder gek�hlt;WA07020000 Tomaten, frisch oder gek�hlt;WA07031019 Speisezwiebeln, frisch oder gek�hlt;WA07061000 Karotten und Speisem�hren, Speiser�ben, frisch;WA07070005 Gurken, frisch oder gek�hlt;WA07070090 Cornichons, frisch oder gek�hlt;WA07081000 Erbsen (Pisum sativum), frisch oder gek�hlt;WA07095930 Steinpilze, frisch oder gek�hlt;WA07097000 Gartenspinat u.a., frisch oder gek�hlt;WA08081080 Andere �pfel, frisch;WA08083090 Birnen, a.n.g., frisch;WA08102010 Himbeeren, frisch
2007;August;Ausfuhr: Gewicht;t;0;584,8;129634,9;130219,7;126,8;2645,1;0;0;0;2,5;2647,6;1139,4;884,8;0;4417,7;2139;3981,2;1798,2;0;3293,7;3,3;80,1;6759,1;0;464,4
2007;August;Ausfuhr: Wert;Tsd. EUR;0;123;15890;16013;454;2066;0;0;0;4;2070;829;2176;0;4267;1154;1223;1103;0;1098;40;88;5949;0;665
2007;August;Einfuhr: Gewicht;t;269;29,8;34558,5;34857,3;1047,6;22881,6;0;0;0;8,1;22889,7;11833,6;2166,9;0;64551,4;23618,3;15492,8;40449,8;1170,2;994,6;24,1;343,3;73988,2;0;2309,7
2007;August;Einfuhr: Wert;Tsd. EUR;63;12;13560;13635;2923;12461;0;0;0;59;12520;8979;3317;0;75928;12210;5507;25122;967;993;201;343;56474;0;3389
2007;September;Ausfuhr: Gewicht;t;92665,9;25,3;189385,9;282077,1;84,4;2960,1;0;0;0;2,1;2962,2;608,9;568,8;0;4688,2;4313,2;8150,5;3238,8;2;771,3;4;41,1;7469,4;0;90,1
2007;September;Ausfuhr: Wert;Tsd. EUR;3408;7;19870;23285;324;2404;0;0;0;1;2405;565;1328;0;5949;1123;1447;1707;3;509;62;45;4989;0;175
2007;September;Einfuhr: Gewicht;t;202,3;2;19456,1;19660,4;475,9;16073,2;0;0;0;4,3;16077,5;9931,3;812,5;0;55798,4;16478,4;14995,6;36402,7;825,6;806,5;34,2;170,8;50245,7;0;4055,8
2007;September;Einfuhr: Wert;Tsd. EUR;29;2;6669;6700;1646;9042;0;0;0;8;9050;8018;1743;0;67580;7872;3874;22393;649;873;326;216;30538;0;5560
2007;Oktober;Ausfuhr: Gewicht;t;61074,6;28,8;119993,4;181096,8;40,3;3317,2;0;0;0;6,2;3323,4;1238,8;122,2;0;2686;6932,2;4083,7;4489,3;50;2327;2,5;362,5;10048,6;0;210,8
2007;Oktober;Ausfuhr: Wert;Tsd. EUR;2234;10;13237;15481;161;2230;0;0;0;5;2235;897;325;0;3542;2127;1399;2243;48;443;39;83;4637;0;300
2007;Oktober;Einfuhr: Gewicht;t;101,2;3,3;14232,6;14337,1;565,9;16476,9;0;0;0;0,6;16477,5;10101,3;818,6;0;58740,1;16585,1;12956,6;38517,4;1099,9;243,6;33,8;281,7;45434,2;0;2163,3
2007;Oktober;Einfuhr: Wert;Tsd. EUR;21;2;4972;4995;1999;10310;0;0;0;2;10312;9200;2265;0;81848;6109;4263;27043;854;628;358;338;27740;0;2904
2007;November;Ausfuhr: Gewicht;t;0;52,7;88438,5;88491,2;38,3;1808,2;0;0;0;2,1;1810,3;569,9;69,8;0;3589,3;9420,5;5619,6;2596,2;0,9;90,9;1,9;112,5;11444,9;0;16,1
2007;November;Ausfuhr: Wert;Tsd. EUR;0;19;10650;10669;122;1243;0;0;0;5;1248;611;179;0;4873;2448;1412;1647;1;243;22;136;6154;0;47
2007;November;Einfuhr: Gewicht;t;143,2;3,1;11975,1;12121,4;541,9;25364,3;0;0;0;0,8;25365,1;8747,8;748,9;0;49201,4;14410,9;11090,2;31010,9;239,4;225,8;21,6;340,9;39470,7;0;139,5
2007;November;Einfuhr: Wert;Tsd. EUR;19;2;5440;5461;1868;15559;0;0;0;5;15564;8603;2085;0;72038;4979;3857;24576;174;557;270;434;26059;0;591
2007;Dezember;Ausfuhr: Gewicht;t;137866,9;5,7;68896,6;206769,2;85,5;2515,3;0;0;0;0,3;2515,6;599,7;188,8;0;1853,1;6830,5;3882,3;914,9;3,6;735,3;0,4;285,3;9224;0;10,7
2007;Dezember;Ausfuhr: Wert;Tsd. EUR;5265;4;8887;14156;338;1323;0;0;0;1;1324;612;567;0;3118;1616;1000;898;2;402;5;81;5232;0;69
2007;Dezember;Einfuhr: Gewicht;t;109,7;2,5;14807,9;14920,1;731,6;67845,8;0;0;0;4,1;67849,9;11826,2;838,2;0;49144;18104,3;16588,9;38152;285,7;254,9;46,6;778,9;43749;0;241,2
2007;Dezember;Einfuhr: Wert;Tsd. EUR;15;2;5444;5461;2674;36657;0;0;0;1;36658;12917;2724;0;77520;6092;6558;31201;201;681;328;962;29414;0;870
2008;Januar;Ausfuhr: Gewicht;t;29341,5;371,8;108267;137980,3;48,2;4280;0;0;0;2;4282;1661,5;156,5;0;3241,2;6668;5065,3;1563,2;7,1;117;1,3;34,4;15406,3;0;18,3
2008;Januar;Ausfuhr: Wert;Tsd. EUR;1395;64;13254;14713;213;2992;0;0;0;3;2995;1693;556;0;4591;1429;1530;1511;16;185;19;54;8620;0;139
2008;Januar;Einfuhr: Gewicht;t;160,4;2117,8;19960,1;22238,3;298,6;84647,5;0;0;0;0;84647,5;12878,7;1073;0;50816,4;17281,1;32769,4;37247,8;77,4;233,3;33,4;689,6;50190,4;0;260,7
2008;Januar;Einfuhr: Wert;Tsd. EUR;19;812;4809;5640;1136;43570;0;0;0;0;43570;14270;3491;0;78332;5818;8966;30942;77;628;471;821;32788;0;968
2008;Februar;Ausfuhr: Gewicht;t;1875,8;902,9;76957,7;79736,4;16,8;3729,8;0;0;0;3,8;3733,6;1789,5;183,3;0;2755,9;8023,6;2824,1;1400,8;3,4;100;0,3;100,2;14097,2;0;21,3
2008;Februar;Ausfuhr: Wert;Tsd. EUR;202;210;9853;10265;84;2560;0;0;0;3;2563;1721;551;0;3339;1716;881;1276;2;103;4;99;8612;0;57
2008;Februar;Einfuhr: Gewicht;t;184,9;6871,2;23773,4;30829,5;454,9;77575;0;0;0;0;77575;12036,8;4187,3;0;50346,7;12302,6;22173,3;34042,4;117,3;234,6;2,8;799,7;50792;0;320
2008;Februar;Einfuhr: Wert;Tsd. EUR;22;2019;5820;7861;1792;44088;0;0;0;0;44088;13410;11563;0;70147;5239;8487;32668;110;586;48;925;38762;0;860
2008;M�rz;Ausfuhr: Gewicht;t;7654,7;1946,8;95861,1;105462,6;511;2383,4;0;0;0;9,1;2392,5;1219,3;929,6;0;3457,4;8031,3;4733;1099,9;0;100,7;0,2;37,6;12382,8;0;26,9
2008;M�rz;Ausfuhr: Wert;Tsd. EUR;371;844;12417;13632;1277;1804;0;0;0;6;1810;1592;2213;0;4613;1764;1402;1077;0;196;3;51;7931;0;202
2008;M�rz;Einfuhr: Gewicht;t;200,4;29582,3;30354,3;60137;4455,8;56955,5;0;0;0;4;56959,5;10983,9;9945,9;0;57998,1;22421,4;29822,5;40766,1;90,9;172,9;3,5;1187,4;50291,3;0;311,4
